,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
2,GS Chappell (AUS),1971-1983,74,72,14,2331,138*,40.18,3079,75.7,3,14,7,
3,Sarfaraz Ahmed (PAK),2007-2019,116,90,22,2302,105,33.85,2622,87.79,2,11,1,
4,SL Campbell (WI),1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9,
5,DL Vettori (ICC/NZ),1997-2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23,
6,S Matsikenyeri (ZIM),2002-2015,113,110,9,2224,90,22.01,3072,72.39,0,13,8,
7,GM Wood (AUS),1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4,
8,NLTC Perera (SL),2009-2019,161,128,16,2210,140,19.73,1979,111.67,1,10,11,
9,MJ Greatbatch (NZ),1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7,
10,JC Adams (WI),1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7,
11,Shahriar Nafees (BDESH),2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11,
12,D Ramdin (WI),2005-2016,139,110,22,2200,169,25,2738,80.35,2,8,4,
13,RA Jadeja (INDIA),2009-2019,159,106,36,2188,87,31.25,2543,86.04,0,11,6,
14,CS MacLeod (SCOT),2008-2019,66,64,6,2175,175,37.5,2623,82.92,8,8,8,
15,Habibul Bashar (BDESH),1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18,
16,IT Botham (ENG),1976-1992,116,106,15,2113,79,23.21,2671,79.1,0,9,6,
17,MW Gatting (ENG),1977-1993,92,88,17,2095,115*,29.5,2968,70.58,1,9,4,
18,NH Fairbrother (ENG),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2,
19,RL Powell (WI),1999-2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8,
20,CL White (AUS),2005-2018,91,77,16,2072,105,33.96,2586,80.12,2,11,4,
21,GC Wilson (IRE),2007-2019,105,99,12,2072,113,23.81,2880,71.94,1,12,6,
22,CO Obuya (KENYA),2001-2014,104,89,9,2044,98*,25.55,2981,68.56,0,11,6,
23,Yasir Hameed (PAK),2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2,
24,WPUJC Vaas (Asia/SL),1994-2008,322,220,72,2025,50*,13.68,2796,72.42,0,1,25,
25,KO Otieno (KENYA),1996-2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12,
26,SV Manjrekar (INDIA),1988-1996,74,70,10,1994,105,33.23,3101,64.3,1,15,3,
27,MP Vaughan (ENG),2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9,
28,CH Lloyd (WI),1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1,
29,GD Elliott (NZ),2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6,
30,BKG Mendis (SL),2016-2019,73,71,3,1973,102,29.01,2367,83.35,1,16,10,
31,KJ Hughes (AUS),1977-1985,97,88,6,1968,98,24,2919,67.42,0,17,12,
32,A Bagai (CAN),2003-2013,62,60,8,1964,137*,37.76,2995,65.57,2,16,2,
33,Fakhar Zaman (PAK),2017-2019,46,46,4,1958,210*,46.61,2056,95.23,4,13,5,
34,LMP Simmons (WI),2006-2015,68,65,3,1958,122,31.58,2680,73.05,2,16,9,
35,Aftab Ahmed (BDESH),2004-2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8,
36,PJL Dujon (WI),1981-1991,169,120,36,1945,82*,23.15,2881,67.51,0,6,8,
37,M Amarnath (INDIA),1975-1989,85,75,12,1924,102*,30.53,3334,57.7,2,13,2,
38,KLT Arthurton (WI),1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12,
39,Imran Nazir (PAK),1999-2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10,
40,RD Berrington (SCOT),2008-2019,78,73,6,1882,101*,28.08,2535,74.24,1,13,3,
41,Mohsin Khan (PAK),1977-1986,75,75,5,1877,117*,26.81,3373,55.64,2,8,3,
42,JV Coney (NZ),1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1,
43,DJG Sammy (WI),2004-2015,126,105,30,1871,89,24.94,1870,100.05,0,9,4,
44,RD Jacobs (WI),1996-2004,147,112,32,1865,80*,23.31,2662,70.06,0,9,11,
45,M Prabhakar (INDIA),1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8,
46,Azhar Ali (PAK),2011-2018,53,53,3,1845,102,36.9,2478,74.45,3,12,3,
47,OA Shah (ENG),2001-2009,71,66,6,1834,107*,30.56,2331,78.67,1,12,6,
48,MW Goodwin (ZIM),1998-2000,71,70,3,1818,112*,27.13,2654,68.5,2,8,1,
49,Khaled Mashud (BDESH),1995-2006,126,110,27,1818,71*,21.9,3315,54.84,0,7,8,
0,BA Edgar (NZ),1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3,
1,A Balbirnie (IRE),2010-2019,64,61,4,1813,145*,31.8,2413,75.13,5,8,4,
2,Samiullah Shinwari (AFG),2009-2019,84,74,12,1811,96,29.2,2765,65.49,0,11,1,
3,JO Holder (WI),2013-2019,112,89,19,1798,99*,25.68,1907,94.28,0,9,9,
4,DJ Hussey (AUS),2008-2013,69,61,6,1796,111,32.65,1980,90.7,1,14,4,
